iter	Passed	Remaining
216	372	1344
217	373	1340
218	374	1337
219	376	1333
220	377	1330
221	378	1326
222	379	1322
223	380	1317
224	381	1313
225	382	1309
226	383	1305
227	384	1301
228	385	1297
229	386	1293
230	387	1289
231	388	1285
232	389	1282
233	391	1280
234	392	1277
235	393	1273
236	394	1269
237	395	1266
238	396	1262
239	397	1258
240	398	1254
241	399	1250
242	400	1247
243	401	1243
244	402	1239
245	403	1236
246	404	1233
247	405	1230
248	406	1227
249	407	1223
250	408	1220
251	410	1217
252	410	1213
253	411	1209
254	412	1206
255	413	1202
256	414	1199
257	415	1196
258	417	1193
259	418	1191
260	419	1188
261	421	1186
262	422	1183
263	423	1180
264	424	1176
265	425	1174
266	426	1171
267	427	1168
268	428	1165
269	430	1162
270	431	1159
271	432	1157
272	433	1154
273	434	1152
274	435	1148
275	436	1145
276	437	1142
277	438	1139
278	439	1136
279	440	1133
280	441	1130
281	442	1127
282	443	1124
283	445	1122
284	447	1122
285	449	1121
286	450	1118
287	451	1116
288	452	1113
289	453	1110
290	454	1107
291	455	1104
292	456	1101
293	457	1098
294	458	1096
295	459	1093
296	461	1091
297	462	1088
298	463	1085
299	464	1082
300	465	1080
301	466	1077
302	467	1074
303	468	1071
304	469	1069
305	470	1066
306	471	1064
307	473	1063
308	474	1060
309	475	1059
310	476	1056
311	478	1054
312	479	1052
313	480	1050
314	482	1048
315	483	1046
316	485	1045
317	486	1043
318	488	1042
319	489	1041
320	491	1039
321	492	1036
322	494	1036
323	495	1034
324	497	1032
325	498	1031
326	500	1029
327	501	1027
328	503	1026
329	505	1025
330	506	1023
331	507	1022
332	510	1022
333	512	1022
334	513	1019
335	515	1018
336	516	1016
337	517	1014
338	519	1013
339	521	1012
340	522	1010
341	524	1008
342	525	1006
343	526	1004
344	528	1002
345	529	1001
346	530	999
347	532	996
348	533	995
349	536	995
350	538	996
351	540	995
352	542	993
353	543	991
354	544	989
355	545	986
356	547	985
357	550	986
358	551	985
359	553	983
360	554	981
361	555	979
362	557	977
363	558	975
364	560	974
365	563	976
366	564	974
367	566	972
368	567	970
369	568	968
370	569	966
371	571	964
372	572	962
373	574	961
374	575	959
375	577	959
376	579	957
377	580	955
378	582	953
379	583	952
380	585	950
381	586	949
382	588	947
383	589	945
384	591	945
385	593	943
386	594	942
387	596	940
388	597	938
389	598	936
390	600	934
391	601	932
392	602	931
393	604	929
394	605	926
395	607	925
396	608	923
397	609	921
398	610	919
399	611	917
400	612	915
401	614	913
402	615	911
403	616	909
404	617	907
405	618	905
406	621	905
407	622	903
408	623	900
409	624	899
410	626	897
411	627	896
412	628	893
413	629	891
414	631	889
415	632	887
416	633	886
417	635	884
418	636	882
419	637	880
420	639	878
421	640	876
422	642	876
423	644	874
424	645	872
425	646	870
426	647	869
427	650	869
428	651	867
429	653	865
430	654	863
431	655	861
432	656	860
433	658	858
434	659	856
435	660	854
436	662	853
437	663	851
438	665	850
439	666	848
440	667	846
441	669	845
442	671	844
443	672	842
444	674	840
445	675	838
446	676	836
447	678	835
448	680	834
449	681	833
450	682	831
451	683	829
452	684	826
453	685	825
454	687	823
455	688	821
456	689	819
457	691	817
458	693	817
459	695	816
460	696	814
461	697	812
462	698	810
463	699	808
464	701	806
465	702	805
466	704	803
467	705	801
468	706	799
469	708	798
470	709	797
471	711	795
472	714	796
473	716	794
474	717	792
475	718	790
476	719	788
477	720	787
478	724	787
479	726	787
480	728	785
481	729	783
482	730	782
483	731	780
484	733	779
485	735	777
486	740	780
487	743	779
488	744	778
489	745	776
490	747	774
491	748	772
492	749	770
493	751	769
494	754	769
495	755	767
496	756	765
497	758	764
498	759	762
499	760	760
500	761	758
501	762	756
502	765	756
503	768	755
504	769	753
505	770	752
506	771	750
507	772	748
508	773	746
509	775	744
510	776	743
511	778	741
512	779	740
513	781	738
514	784	738
515	786	737
516	787	735
517	788	733
518	790	732
519	791	730
520	792	728
521	794	727
522	795	725
523	797	724
524	798	722
525	799	720
526	801	718
527	802	717
528	803	715
529	805	713
530	806	712
531	807	710
532	808	708
533	811	707
534	812	706
535	813	704
536	814	702
537	815	700
538	817	698
539	818	697
540	819	695
541	820	693
542	821	691
543	822	689
544	823	687
545	825	686
546	826	684
547	827	682
548	828	680
549	830	679
550	831	677
551	833	676
552	834	674
553	835	672
554	836	670
555	839	670
556	840	668
557	841	666
558	843	665
559	844	663
560	845	661
561	847	660
562	848	658
563	850	657
564	851	655
565	853	654
566	854	652
567	855	650
568	857	649
569	858	647
570	859	646
571	861	644
572	862	642
573	863	641
574	865	639
575	866	637
576	868	636
577	869	635
578	871	633
579	872	631
580	873	629
581	874	628
582	875	626
583	876	624
584	877	622
585	878	620
586	879	618
587	880	617
588	882	615
589	883	614
590	885	612
591	887	611
592	888	609
593	889	608
594	891	606
595	892	605
596	894	604
597	898	603
598	899	602
599	900	600
600	901	598
601	903	597
602	904	595
603	905	593
604	906	591
605	907	590
606	908	588
607	909	586
608	911	584
609	912	583
610	913	581
611	915	580
612	916	578
613	917	576
614	918	575
615	919	573
616	921	571
617	922	569
618	923	568
619	924	566
620	925	565
621	926	563
622	927	561
623	928	559
624	930	558
625	931	556
626	932	554
627	933	552
628	934	551
629	935	549
630	936	547
631	937	545
632	938	544
633	939	542
634	940	540
635	941	539
636	943	537
637	944	536
638	945	534
639	947	532
640	948	531
641	950	529
642	951	528
643	952	526
644	954	525
645	955	523
646	957	522
647	958	520
648	959	519
649	961	517
650	963	516
651	964	514
652	965	513
653	966	511
654	969	510
655	971	509
656	972	507
657	973	506
658	975	504
659	976	503
660	978	501
661	979	500
662	980	498
663	982	497
664	984	495
665	985	494
666	986	492
667	988	491
668	990	489
669	991	488
670	993	486
671	994	485
672	995	483
673	997	482
674	999	481
675	1000	479
676	1001	477
677	1003	476
678	1004	474
679	1005	473
680	1006	471
681	1008	470
682	1009	468
683	1011	467
684	1013	466
685	1014	464
686	1016	463
687	1017	461
688	1018	459
689	1019	458
690	1020	456
691	1021	454
692	1022	453
693	1023	451
694	1024	449
695	1026	448
696	1030	447
697	1031	446
698	1033	444
699	1034	443
700	1035	441
701	1036	440
702	1038	438
703	1038	436
704	1040	435
705	1041	433
706	1043	432
707	1044	430
708	1046	429
709	1047	427
710	1048	426
711	1050	424
712	1051	423
713	1052	421
714	1054	420
715	1056	419
716	1058	417
717	1059	416
718	1060	414
719	1061	412
720	1062	411
721	1063	409
722	1064	407
723	1065	406
724	1066	404
725	1067	403
726	1069	401
727	1071	400
728	1073	398
729	1074	397
730	1075	395
731	1077	394
732	1078	392
733	1079	391
734	1080	389
735	1082	388
736	1084	387
737	1086	385
738	1088	384
739	1089	382
740	1090	381
741	1092	379
742	1094	378
743	1095	377
744	1097	375
745	1098	374
746	1100	372
747	1102	371
748	1106	370
749	1108	369
750	1109	368
751	1111	366
752	1112	364
753	1114	363
754	1115	362
755	1117	360
756	1119	359
757	1120	357
758	1121	356
759	1123	354
760	1124	353
761	1125	351
762	1127	350
763	1129	348
764	1131	347
765	1132	345
766	1133	344
767	1134	342
768	1135	341
769	1137	339
770	1139	338
771	1140	336
772	1141	335
773	1142	333
774	1144	332
775	1145	330
776	1146	329
777	1148	327
778	1149	326
779	1151	324
780	1152	323
781	1153	321
782	1154	320
783	1155	318
784	1156	316
785	1158	315
786	1160	313
787	1161	312
788	1162	310
789	1164	309
790	1165	308
791	1167	306
792	1168	305
793	1169	303
794	1171	302
795	1175	301
796	1176	299
797	1178	298
798	1181	297
799	1182	295
800	1183	294
801	1184	292
802	1186	291
803	1187	289
804	1188	287
805	1190	286
806	1192	285
807	1193	283
808	1195	282
809	1197	280
810	1199	279
811	1202	278
812	1206	277
813	1208	276
814	1209	274
815	1211	273
816	1214	272
817	1218	271
818	1221	269
819	1226	269
820	1227	267
821	1230	266
822	1232	264
823	1233	263
824	1234	261
825	1236	260
826	1238	259
827	1239	257
828	1241	256
829	1243	254
830	1247	253
831	1248	252
832	1249	250
833	1251	249
834	1252	247
835	1254	246
836	1256	244
837	1257	243
838	1261	241
839	1262	240
840	1264	239
841	1266	237
842	1267	236
843	1268	234
844	1270	233
845	1273	231
846	1280	231
847	1282	229
848	1283	228
849	1284	226
850	1286	225
851	1288	223
852	1291	222
853	1293	221
854	1295	219
855	1296	218
856	1298	216
857	1300	215
858	1302	213
859	1303	212
860	1304	210
861	1306	209
862	1308	207
863	1309	206
864	1311	204
865	1312	203
866	1314	201
867	1316	200
868	1318	198
869	1320	197
870	1322	195
871	1323	194
872	1324	192
873	1325	191
874	1326	189
875	1328	188
876	1330	186
877	1333	185
878	1336	183
879	1337	182
880	1338	180
881	1340	179
882	1342	177
883	1344	176
884	1345	174
885	1347	173
886	1349	171
887	1350	170
888	1351	168
889	1352	167
890	1354	165
891	1355	164
892	1356	162
893	1357	160
894	1358	159
895	1360	157
896	1361	156
897	1363	154
898	1365	153
899	1366	151
900	1367	150
901	1369	148
902	1370	147
903	1371	145
904	1373	144
905	1374	142
906	1375	140
907	1376	139
908	1377	137
909	1378	136
910	1379	134
911	1381	133
912	1382	131
913	1384	130
914	1385	128
915	1386	127
916	1387	125
917	1389	124
918	1389	122
919	1391	120
920	1393	119
921	1394	117
922	1395	116
923	1396	114
924	1397	113
925	1398	111
926	1399	110
927	1400	108
928	1401	107
929	1402	105
930	1403	104
931	1404	102
932	1405	100
933	1407	99
934	1408	97
935	1410	96
936	1412	94
937	1413	93
938	1414	91
939	1415	90
940	1416	88
941	1417	87
942	1418	85
943	1420	84
944	1421	82
945	1422	81
946	1424	79
947	1428	78
948	1429	76
949	1431	75
950	1432	73
951	1434	72
952	1435	70
953	1437	69
954	1438	67
955	1439	66
956	1440	64
957	1441	63
958	1442	61
959	1443	60
960	1444	58
961	1445	57
962	1446	55
963	1447	54
964	1448	52
965	1450	51
966	1451	49
967	1452	48
968	1453	46
969	1454	44
970	1455	43
971	1456	41
972	1457	40
973	1458	38
974	1459	37
975	1461	35
976	1462	34
977	1463	32
978	1465	31
979	1466	29
980	1467	28
981	1468	26
982	1469	25
983	1470	23
984	1471	22
985	1472	20
986	1473	19
987	1474	17
988	1475	16
989	1476	14
990	1477	13
991	1478	11
992	1480	10
993	1481	8
994	1482	7
995	1483	5
996	1484	4
997	1485	2
998	1486	1
999	1487	0
